forest,effect.size.calc,study.design,include.qual,include.quant,author,title,year,journal,study.id,study.treat,es.id,measure.name,developer,delayed,hedges.g,variance,grade.level,no.disability,group.size.calc,content,prop.females.whole,prop.females.t1,prop.females.t2,prop.black.whole,prop.black.t1,prop.black.t2,prop.hispanic.whole,prop.hispanic.t1,prop.hispanic.t2,prop.white.whole,prop.white.t1,prop.white.t2,prop.native,prop.asian,prop.other.races,txt.name,txt.description,txt.n,txt.sessions,txt.sessions.minutes,algebra,early.numeracy,fractions,geometry,lifeskills,measurement,operations,word.problem,explicit.modeling,explicit.guided,explicit.indep,explicit.feedback,explicit.discourse,group.whole,group.small,group.one,group.size.original,control.name,control.description,qi.1.1,qi.2.1,qi.2.2,qi.3.1,qi.3.2,qi.4.1,qi.4.2,qi.5.1,qi.5.2,qi.5.3,qi.6.1,qi.6.2,qi.6.3,qi.6.4,qi.6.8,qi.6.9,qi.7.1,qi.7.2,qi.7.3,qi.7.4,qi.7.5,qi.7.6,qi.8.1,qi.8.3,qi.g.total,qi.percent,qi.1.1B,qi.2.1B,qi.2.2B,qi.3.1B,qi.3.2B,qi.4.1B,qi.4.2B,qi.5.1B,qi.5.2B,qi.5.3B,qi.6.1B,qi.6.2B,qi.6.3B,qi.6.5B,qi.6.6B,qi.6.7B,qi.7.1B,qi.7.2B,qi.7.3B,qi.7.4B,qi.7.5B,qi.8.2B,qi.s.total
"Jitendra et al., 2016",1,rct,1,1,"Jitendra, Asha K.1, jiten001@umn.edu and Dupuis, Danielle N.1 and Star, Jon R.2 and Rodriguez, Michael C.1",The Effects of Schema-Based Instruction on the Proportional Thinking of Students With Mathematics Difficulties With and Without Reading Difficulties.,2016,Journal of Learning Disabilities,268,268,1444,Mathematical problem-solving test (ratios and proportions),0,0,0.067212569,0.015729106,sec,0,24.4,word problems,0.49,0.5,0,0.31,0.32,0,0.14,0.14,0,0.44,0.43,0,0.01,0.1,0,Schema-Based Instruction (SBI),Schema instruction for ratios/proportions and percents ,148,29,50,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,,Control ,One refomoriented and two traditional mathematics curricula,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,18,0.75,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,15
"Jitendra et al., 2016",1,rct,1,1,"Jitendra, Asha K.1, jiten001@umn.edu and Dupuis, Danielle N.1 and Star, Jon R.2 and Rodriguez, Michael C.1",The Effects of Schema-Based Instruction on the Proportional Thinking of Students With Mathematics Difficulties With and Without Reading Difficulties.,2016,Journal of Learning Disabilities,268,268,1445,Mathematical problem-solving test (ratios and proportions),0,1,0.204129297,0.015800551,sec,0,24.4,word problems,0.49,0.5,0,0.31,0.32,0,0.14,0.14,0,0.44,0.43,0,0.01,0.1,0,Schema-Based Instruction (SBI),Schema instruction for ratios/proportions and percents ,148,29,50,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,,Control ,One refomoriented and two traditional mathematics curricula,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,18,0.75,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,15
"Jitendra et al., 2016",1,rct,1,1,"Jitendra, Asha K.1, jiten001@umn.edu and Dupuis, Danielle N.1 and Star, Jon R.2 and Rodriguez, Michael C.1",The Effects of Schema-Based Instruction on the Proportional Thinking of Students With Mathematics Difficulties With and Without Reading Difficulties.,2016,Journal of Learning Disabilities,268,268,1446,Mathematical problem-solving test (percent),0,0,0.302763155,0.015896698,sec,0,24.4,word problems,0.49,0.5,0,0.31,0.32,0,0.14,0.14,0,0.44,0.43,0,0.01,0.1,0,Schema-Based Instruction (SBI),Schema instruction for ratios/proportions and percents ,148,29,50,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,,Control ,One refomoriented and two traditional mathematics curricula,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,18,0.75,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,15
"Jitendra et al., 2016",1,rct,1,1,"Jitendra, Asha K.1, jiten001@umn.edu and Dupuis, Danielle N.1 and Star, Jon R.2 and Rodriguez, Michael C.1",The Effects of Schema-Based Instruction on the Proportional Thinking of Students With Mathematics Difficulties With and Without Reading Difficulties.,2016,Journal of Learning Disabilities,268,268,1447,Mathematical problem-solving test (percent),0,1,0.211180079,0.015806182,sec,0,24.4,word problems,0.49,0.5,0,0.31,0.32,0,0.14,0.14,0,0.44,0.43,0,0.01,0.1,0,Schema-Based Instruction (SBI),Schema instruction for ratios/proportions and percents ,148,29,50,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,,Control ,One refomoriented and two traditional mathematics curricula,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,18,0.75,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,15
"Jitendra et al., 2016",1,rct,1,1,"Jitendra, Asha K.1, jiten001@umn.edu and Dupuis, Danielle N.1 and Star, Jon R.2 and Rodriguez, Michael C.1",The Effects of Schema-Based Instruction on the Proportional Thinking of Students With Mathematics Difficulties With and Without Reading Difficulties.,2016,Journal of Learning Disabilities,268,268,1448,Transfer test,1,0,0.159393792,0.015769277,sec,0,24.4,word problems,0.49,0.5,0,0.31,0.32,0,0.14,0.14,0,0.44,0.43,0,0.01,0.1,0,Schema-Based Instruction (SBI),Schema instruction for ratios/proportions and percents ,148,29,50,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,,Control ,One refomoriented and two traditional mathematics curricula,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,18,0.75,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,15
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1449a,Number Sense Brief total,0,0,0.781768,0.05009,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1449d,Number Sense Brief total: Delayed,0,1,0.448396,0.047706,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1451a,Number Sense Brief: Counting,0,0,0.035135,0.046544,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1451d,Number Sense Brief: Counting: Delayed,0,1,-0.05678,0.046556,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1453a,Number Sense Brief: Number recognition,0,0,0.35508,0.04727,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1453d,Number Sense Brief: Number recognition: Delayed,0,1,0.115596,0.046614,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1455a,Number Sense Brief: Number comparisons,0,0,0.66088,0.049076,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1455d,Number Sense Brief: Number Comparisons: Delayed,0,1,0.312996,0.047106,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1457a,Number Sense Brief: Nonverbal calculation,0,0,0.091682,0.046586,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1457d,Number Sense Brief: Nonverbal calculation: Delayed,0,1,0,0.046537,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1459a,Number Sense Brief: Story Problems,0,0,1.509238,0.05978,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1459d,Number Sense Brief: Story Problems: Delayed,0,1,1.015435,0.052532,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1461a,Number Sense Brief: Number Combinations,0,0,0.597052,0.048609,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1461d,Number Sense Brief: Number Combinations: Delayed,0,1,0.425962,0.047592,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1463a,Woodcock-Johnson III Test of Achievement: Applied problems and calculation subtests,1,0,0.718845,0.049541,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1463d,Woodcock-Johnson III Test of Achievement: Applied problems and calculation subtests: Delayed,1,1,0.375863,0.047358,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1465a,Woodcock-Johnson III Test of Achievement: Applied problems,1,0,0.231339,0.046848,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1465d,Woodcock-Johnson III Test of Achievement: Applied problems: Delayed,1,1,0.301619,0.047066,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1467a,Woodcock-Johnson III Test of Achievement: Calculation,1,0,0.862454,0.050861,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1467d,Woodcock-Johnson III Test of Achievement: Calculation: Delayed,1,1,0.341013,0.047213,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1469a,Vocabulary,0,0,0.090788,0.046585,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272a,1469b,Vocabulary: Delayed,0,1,0.017193,0.046539,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Number Sense ,Number sense intervention aligned with common core state standards ,42,24,30,NA,1,NA,1,NA,1,NA,NA,1,NA,1,1,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272b,1449b,Number Sense Brief Total,0,0,-0.06616,0.046562,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Language ,story-books with some quantitative vocabulary,42,24,30,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272b,1440e,Number Sense Brief Total: Delayed,0,1,-0.10423,0.0466,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Language ,story-books with some quantitative vocabulary,42,24,30,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272b,1451b,Number Sense Brief: counting Skills,0,0,-0.20197,0.046774,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Language ,story-books with some quantitative vocabulary,42,24,30,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
"Jordan et al., 2012",1,rct,1,1,"Jordan, Nancy C. and Glutting, Joseph and Dyson, Nancy and Hassinger-Das, Brenna and Irwin, Casey",Building Kindergartners' Number Sense: A Randomized Controlled Study.,2012,Journal of Educational Psychology,272,272b,1451e,Number Sense Brief: Counting Skills: Delayed,0,1,-0.16424,0.046694,early,0,4,early numeracy,0.49,0.4,0.64,0.48,0.45,0.57,0.41,0.4,0.4,0.1,0.14,0.02,0,0,0.01,Language ,story-books with some quantitative vocabulary,42,24,30,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,1,NA,4,Control ,regular math instruction ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,0.916666667,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,16
